Filename	LLM_EP0903
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/04/2025
Sample name	LLM_EP0903
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00		
0.00		
0.00		
0.01		
0.01		
0.01	21.12	
0.01	21.16	
0.01	21.20	
0.01	21.23	
0.01	21.27	
0.02	21.30	
0.02	21.34	
0.02	21.37	
0.02	21.41	
0.02	21.44	
0.03	21.47	
0.03	21.50	
0.03	21.54	
0.03	21.57	
0.03	21.60	
0.03	21.63	
0.03	21.66	
0.04	21.70	
0.04	21.73	
0.04	21.76	
0.04	21.79	
0.04	21.82	
0.05	21.85	
0.05	21.88	
0.05	21.91	
0.05	21.94	
0.05	21.97	
0.05	22.00	

[step]
Ramp 10.00 °C/min to 135.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.05	22.02	
0.06	22.05	
0.06	22.08	-0.627
0.06	22.11	-0.608
0.06	22.14	-0.589
0.06	22.17	-0.570
0.07	22.19	-0.553
0.07	22.22	-0.536
0.07	22.25	-0.521
0.07	22.28	-0.506
0.07	22.31	-0.491
0.07	22.33	-0.480
0.08	22.36	-0.468
0.08	22.39	-0.455
0.08	22.42	-0.445
0.08	22.44	-0.434
0.08	22.47	-0.423
0.08	22.50	-0.413
0.08	22.53	-0.405
0.09	22.55	-0.399
0.09	22.58	-0.392
0.09	22.61	-0.383
0.09	22.63	-0.376
0.09	22.66	-0.368
0.09	22.69	-0.361
0.10	22.72	-0.355
0.10	22.74	-0.347
0.10	22.77	-0.339
0.10	22.80	-0.332
0.10	22.82	-0.327
0.11	22.85	-0.322
0.11	22.88	-0.317
0.11	22.90	-0.311
0.11	22.93	-0.305
0.11	22.96	-0.300
0.11	22.98	-0.295
0.12	23.01	-0.293
0.12	23.03	-0.289
0.12	23.06	-0.286
0.12	23.08	-0.282
0.12	23.11	-0.281
0.12	23.14	-0.280
0.13	23.16	-0.277
0.13	23.19	-0.274
0.13	23.22	-0.272
0.13	23.24	-0.270
0.13	23.27	-0.266
0.13	23.29	-0.264
0.14	23.32	-0.261
0.14	23.34	-0.258
0.14	23.37	-0.256
0.14	23.39	-0.252
0.14	23.42	-0.252
0.14	23.44	-0.249
0.14	23.47	-0.246
0.15	23.50	-0.243
0.15	23.52	-0.242
0.15	23.55	-0.241
0.15	23.57	-0.240
0.15	23.60	-0.237
0.16	23.62	-0.236
0.16	23.65	-0.236
0.16	23.67	-0.235
0.16	23.69	-0.234
0.16	23.72	-0.234
0.16	23.74	-0.234
0.16	23.77	-0.233
0.17	23.79	-0.231
0.17	23.82	-0.229
0.17	23.84	-0.227
0.17	23.86	-0.224
0.17	23.89	-0.222
0.18	23.91	-0.221
0.18	23.93	-0.220
0.18	23.96	-0.219
0.18	23.98	-0.218
0.18	24.01	-0.218
0.18	24.03	-0.218
0.19	24.05	-0.217
0.19	24.08	-0.216
0.19	24.10	-0.214
0.19	24.12	-0.213
0.19	24.15	-0.213
0.19	24.17	-0.212
0.19	24.19	-0.212
0.20	24.21	-0.212
0.20	24.24	-0.210
0.20	24.26	-0.209
0.20	24.28	-0.209
0.20	24.31	-0.208
0.21	24.33	-0.208
0.21	24.35	-0.206
0.21	24.37	-0.206
0.21	24.40	-0.206
0.21	24.42	-0.204
0.21	24.44	-0.203
0.21	24.46	-0.204
0.22	24.49	-0.202
0.22	24.51	-0.200
0.22	24.53	-0.199
0.22	24.55	-0.198
0.22	24.57	-0.198
0.23	24.59	-0.197
0.23	24.62	-0.197
0.23	24.64	-0.198
0.23	24.66	-0.196
0.23	24.68	-0.195
0.23	24.70	-0.195
0.24	24.72	-0.194
0.24	24.75	-0.193
0.24	24.77	-0.193
0.24	24.79	-0.191
0.24	24.81	-0.189
0.24	24.83	-0.189
0.24	24.85	-0.188
0.25	24.87	-0.189
0.25	24.90	-0.189
0.25	24.92	-0.188
0.25	24.94	-0.187
0.25	24.96	-0.186
0.26	24.98	-0.185
0.26	25.00	-0.184
0.26	25.02	-0.183
0.26	25.04	-0.180
0.26	25.06	-0.180
0.26	25.08	-0.178
0.26	25.10	-0.179
0.27	25.12	-0.179
0.27	25.14	-0.179
0.27	25.17	-0.180
0.27	25.18	-0.180
0.27	25.21	-0.180
0.28	25.23	-0.180
0.28	25.25	-0.179
0.28	25.27	-0.177
0.28	25.29	-0.177
0.28	25.31	-0.176
0.28	25.33	-0.175
0.29	25.35	-0.174
0.29	25.37	-0.173
0.29	25.39	-0.172
0.29	25.41	-0.171
0.29	25.43	-0.171
0.29	25.45	-0.171
