Filename	LLM_EP0902
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	14/04/2025
Sample name	LLM_EP0902
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.38	26.71	-0.148
0.38	26.72	-0.147
0.38	26.74	-0.147
0.38	26.76	-0.146
0.39	26.78	-0.144
0.39	26.80	-0.142
0.39	26.82	-0.141
0.39	26.83	-0.140
0.39	26.85	-0.140
0.39	26.87	-0.140
0.40	26.89	-0.139
0.40	26.91	-0.139
0.40	26.93	-0.140
0.40	26.94	-0.140
0.40	26.96	-0.140
0.40	26.98	-0.140
0.40	27.00	-0.140
0.41	27.02	-0.140
0.41	27.04	-0.139
0.41	27.05	-0.138
0.41	27.07	-0.136
0.41	27.09	-0.136
0.41	27.11	-0.135
0.42	27.13	-0.135
0.42	27.14	-0.135
0.42	27.16	-0.135
0.42	27.18	-0.135
0.42	27.20	-0.135
0.43	27.22	-0.135
0.43	27.24	-0.134
0.43	27.25	-0.134
0.43	27.27	-0.134
0.43	27.29	-0.134
0.43	27.31	-0.133
0.44	27.33	-0.133
0.44	27.34	-0.133
0.44	27.36	-0.132
0.44	27.38	-0.132
0.44	27.40	-0.130
0.44	27.42	-0.129
0.45	27.43	-0.128
0.45	27.45	-0.127
0.45	27.47	-0.126
0.45	27.49	-0.125
0.45	27.51	-0.125
0.45	27.52	-0.125
0.45	27.54	-0.125
0.46	27.56	-0.126
0.46	27.58	-0.127
0.46	27.60	-0.127
0.46	27.61	-0.127
0.46	27.63	-0.127
0.46	27.65	-0.127
0.47	27.67	-0.126
0.47	27.69	-0.125
0.47	27.70	-0.123
0.47	27.72	-0.122
0.47	27.74	-0.122
0.48	27.76	-0.121
0.48	27.77	-0.121
0.48	27.79	-0.121
0.48	27.81	-0.121
0.48	27.83	-0.122
0.48	27.85	-0.121
0.49	27.86	-0.121
0.49	27.88	-0.121
0.49	27.90	-0.121
0.49	27.92	-0.121
0.49	27.93	-0.120
0.49	27.95	-0.120
0.50	27.97	-0.120
0.50	27.99	-0.120
0.50	28.00	-0.120
0.50	28.02	-0.120
0.50	28.04	-0.119
0.50	28.06	-0.119
0.50	28.08	-0.118
0.51	28.09	-0.118
0.51	28.11	-0.118
0.51	28.13	-0.117
0.51	28.15	-0.117
0.51	28.16	-0.117
0.51	28.18	-0.116
0.52	28.20	-0.116
0.52	28.22	-0.115
0.52	28.23	-0.115
0.52	28.25	-0.114
0.52	28.27	-0.113
0.53	28.29	-0.112
0.53	28.30	-0.112
0.53	28.32	-0.111
0.53	28.34	-0.110
0.53	28.36	-0.110
0.53	28.37	-0.110
0.53	28.39	-0.111
0.54	28.41	-0.111
0.54	28.43	-0.112
0.54	28.45	-0.112
0.54	28.46	-0.112
0.54	28.48	-0.112
0.55	28.50	-0.112
0.55	28.52	-0.112
0.55	28.53	-0.111
0.55	28.55	-0.111
0.55	28.57	-0.110
0.55	28.58	-0.110
0.55	28.60	-0.109
0.56	28.62	-0.109
0.56	28.64	-0.108
0.56	28.65	-0.108
0.56	28.67	-0.108
0.56	28.69	-0.108
0.57	28.71	-0.108
0.57	28.72	-0.108
0.57	28.74	-0.108
0.57	28.76	-0.108
0.57	28.77	-0.107
0.57	28.79	-0.107
0.58	28.81	-0.107
0.58	28.83	-0.106
0.58	28.85	-0.106
0.58	28.86	-0.106
0.58	28.88	-0.106
0.58	28.90	-0.106
0.58	28.91	-0.106
0.59	28.93	-0.106
0.59	28.95	-0.105
0.59	28.97	-0.105
0.59	28.98	-0.105
0.59	29.00	-0.105
0.60	29.02	-0.105
0.60	29.04	-0.105
0.60	29.05	-0.105
0.60	29.07	-0.104
0.60	29.09	-0.103
0.60	29.10	-0.103
0.60	29.12	-0.103
0.61	29.14	-0.103
0.61	29.15	-0.102
0.61	29.17	-0.102
0.61	29.19	-0.102
0.61	29.21	-0.102
0.62	29.23	-0.102
0.62	29.24	-0.102
0.62	29.26	-0.102
0.62	29.28	-0.102
0.62	29.29	-0.102
0.62	29.31	-0.102
0.63	29.33	-0.102
0.63	29.35	-0.102
0.63	29.36	-0.102
0.63	29.38	-0.102
0.63	29.40	-0.102
0.63	29.41	-0.101
0.63	29.43	-0.101
0.64	29.45	-0.101
0.64	29.47	-0.101
0.64	29.48	-0.101
0.64	29.50	-0.101
0.64	29.52	-0.101
0.65	29.54	-0.101
0.65	29.55	-0.101
0.65	29.57	-0.101
0.65	29.59	-0.100
0.65	29.60	-0.100
0.65	29.62	-0.100
0.65	29.64	-0.100
0.66	29.65	-0.100
0.66	29.67	-0.100
0.66	29.69	-0.100
0.66	29.70	-0.099
0.66	29.72	-0.099
0.67	29.74	-0.099
0.67	29.76	-0.099
0.67	29.77	-0.099
0.67	29.79	-0.099
0.67	29.81	-0.099
0.67	29.82	-0.099
0.68	29.84	-0.099
0.68	29.86	-0.099
0.68	29.88	-0.099
0.68	29.89	-0.099
0.68	29.91	-0.098
0.68	29.93	-0.098
0.68	29.95	-0.098
0.69	29.96	-0.098
0.69	29.98	-0.098
0.69	30.00	-0.098
0.69	30.01	-0.098
0.69	30.03	-0.098
0.70	30.05	-0.098
0.70	30.06	-0.098
0.70	30.08	-0.098
0.70	30.10	-0.098
0.70	30.11	-0.098
0.70	30.13	-0.097
0.70	30.15	-0.097
0.71	30.17	-0.097
0.71	30.18	-0.097
0.71	30.20	-0.097
0.71	30.22	-0.097
0.71	30.23	-0.097
0.72	30.25	-0.097
0.72	30.27	-0.097
0.72	30.28	-0.097
0.72	30.30	-0.097
0.72	30.32	-0.097
0.72	30.34	-0.097
0.73	30.35	-0.096
0.73	30.37	-0.096
0.73	30.39	-0.096
0.73	30.41	-0.096
0.73	30.42	-0.096
0.73	30.44	-0.096
0.73	30.46	-0.096
0.74	30.47	-0.096
0.74	30.49	-0.096
0.74	30.51	-0.096
0.74	30.52	-0.096
0.74	30.54	-0.096
0.75	30.56	-0.096
0.75	30.57	-0.096
0.75	30.59	-0.096
0.75	30.61	-0.096
0.75	30.63	-0.096
0.75	30.64	-0.096
0.75	30.66	-0.095
0.76	30.68	-0.095
0.76	30.69	-0.095
0.76	30.71	-0.095
0.76	30.73	-0.095
0.76	30.74	-0.095
0.77	30.76	-0.095
0.77	30.78	-0.094
0.77	30.80	-0.094
0.77	30.81	-0.094
0.77	30.83	-0.094
0.77	30.85	-0.094
0.78	30.86	-0.094
0.78	30.88	-0.094
0.78	30.90	-0.094
0.78	30.91	-0.094
0.78	30.93	-0.094
0.78	30.95	-0.094
0.78	30.96	-0.094
0.79	30.98	-0.094
0.79	31.00	-0.094
0.79	31.01	-0.094
0.79	31.03	-0.094
0.79	31.05	-0.093
0.80	31.07	-0.093
0.80	31.08	-0.093
0.80	31.10	-0.093
0.80	31.12	-0.093
0.80	31.13	-0.093
0.80	31.15	-0.093
0.80	31.17	-0.093
0.81	31.18	-0.093
0.81	31.20	-0.093
0.81	31.22	-0.093
0.81	31.23	-0.093
0.81	31.25	-0.093
0.82	31.27	-0.093
0.82	31.28	-0.093
0.82	31.30	-0.093
0.82	31.32	-0.093
0.82	31.34	-0.093
0.82	31.35	-0.093
0.83	31.37	-0.093
0.83	31.39	-0.092
0.83	31.40	-0.092
0.83	31.42	-0.091
0.83	31.44	-0.091
0.83	31.45	-0.091
0.83	31.47	-0.091
0.84	31.49	-0.091
0.84	31.50	-0.091
0.84	31.52	-0.091
0.84	31.54	-0.091
0.84	31.55	-0.091
0.85	31.57	-0.091
0.85	31.59	-0.091
0.85	31.60	-0.091
0.85	31.62	-0.091
0.85	31.64	-0.091
0.85	31.66	-0.091
0.85	31.67	-0.091
0.86	31.69	-0.091
0.86	31.71	-0.091
0.86	31.72	-0.091
0.86	31.74	-0.091
0.86	31.76	-0.091
0.87	31.77	-0.091
0.87	31.79	-0.091
0.87	31.81	-0.091
0.87	31.82	-0.091
0.87	31.84	-0.091
0.87	31.86	-0.091
0.88	31.87	-0.091
0.88	31.89	-0.090
0.88	31.91	-0.090
0.88	31.92	-0.090
0.88	31.94	-0.090
0.88	31.96	-0.090
0.88	31.98	-0.090
0.89	31.99	-0.090
0.89	32.01	-0.090
0.89	32.03	-0.090
0.89	32.04	-0.090
0.89	32.06	-0.090
0.90	32.08	-0.090
0.90	32.09	-0.090
0.90	32.11	-0.090
0.90	32.13	-0.090
0.90	32.14	-0.090
0.90	32.16	-0.090
