Filename	LLM_EP0905
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/04/2025
Sample name	LLM_EP0905
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00		
0.00		
0.00		
0.01		
0.01		
0.01	21.89	
0.01	21.92	
0.01	21.96	
0.01	21.99	
0.01	22.02	
0.02	22.05	

[step]
Ramp 10.00 °C/min to 135.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.02	22.08	
0.02	22.11	
0.02	22.14	
0.02	22.17	
0.03	22.20	
0.03	22.23	
0.03	22.25	
0.03	22.28	
0.03	22.31	
0.03	22.34	
0.03	22.36	
0.04	22.39	
0.04	22.42	
0.04	22.44	
0.04	22.47	
0.04	22.50	
0.05	22.52	
0.05	22.55	
0.05	22.57	
0.05	22.60	
0.05	22.63	
0.05	22.65	
0.05	22.67	
0.06	22.70	
0.06	22.72	-0.489
0.06	22.75	-0.489
0.06	22.77	-0.489
0.06	22.80	-0.488
0.07	22.82	-0.487
0.07	22.85	-0.484
0.07	22.87	-0.480
0.07	22.90	-0.477
0.07	22.92	-0.475
0.07	22.94	-0.473
0.08	22.97	-0.470
0.08	22.99	-0.468
0.08	23.02	-0.466
0.08	23.04	-0.464
0.08	23.06	-0.462
0.08	23.09	-0.459
0.08	23.11	-0.457
0.09	23.13	-0.453
0.09	23.16	-0.452
0.09	23.18	-0.449
0.09	23.21	-0.446
0.09	23.23	-0.443
0.09	23.25	-0.442
0.10	23.28	-0.442
0.10	23.30	-0.441
0.10	23.32	-0.439
0.10	23.35	-0.437
0.10	23.37	-0.435
0.11	23.39	-0.433
0.11	23.42	-0.431
0.11	23.44	-0.429
0.11	23.46	-0.425
0.11	23.49	-0.422
0.11	23.51	-0.420
0.12	23.53	-0.419
0.12	23.56	-0.417
0.12	23.58	-0.416
0.12	23.61	-0.413
0.12	23.63	-0.411
0.12	23.65	-0.409
0.13	23.67	-0.407
0.13	23.70	-0.406
0.13	23.72	-0.404
0.13	23.74	-0.403
0.13	23.77	-0.402
0.13	23.79	-0.402
0.14	23.82	-0.401
0.14	23.84	-0.399
0.14	23.86	-0.398
0.14	23.88	-0.396
0.14	23.91	-0.394
0.14	23.93	-0.392
0.14	23.95	-0.390
0.15	23.98	-0.388
0.15	24.00	-0.387
0.15	24.02	-0.385
0.15	24.04	-0.384
0.15	24.07	-0.384
0.16	24.09	-0.382
0.16	24.11	-0.382
0.16	24.13	-0.381
0.16	24.16	-0.379
0.16	24.18	-0.378
0.16	24.20	-0.377
0.16	24.23	-0.376
0.17	24.25	-0.374
0.17	24.27	-0.373
0.17	24.29	-0.372
0.17	24.31	-0.371
0.17	24.34	-0.370
0.18	24.36	-0.370
0.18	24.38	-0.369
0.18	24.40	-0.368
0.18	24.43	-0.367
0.18	24.45	-0.366
0.18	24.47	-0.365
0.19	24.49	-0.364
0.19	24.51	-0.362
0.19	24.53	-0.361
0.19	24.56	-0.360
0.19	24.58	-0.359
0.19	24.60	-0.359
0.19	24.62	-0.358
0.20	24.64	-0.357
0.20	24.66	-0.355
0.20	24.69	-0.354
0.20	24.71	-0.353
0.20	24.73	-0.352
0.21	24.75	-0.351
0.21	24.77	-0.350
0.21	24.79	-0.349
0.21	24.81	-0.349
0.21	24.83	-0.349
0.21	24.85	-0.349
0.21	24.88	-0.348
0.22	24.90	-0.347
0.22	24.92	-0.346
0.22	24.94	-0.344
0.22	24.96	-0.343
0.22	24.98	-0.342
0.23	25.00	-0.340
0.23	25.02	-0.339
0.23	25.04	-0.337
0.23	25.06	-0.336
0.23	25.08	-0.335
0.23	25.10	-0.335
0.24	25.12	-0.335
0.24	25.14	-0.334
0.24	25.16	-0.334
0.24	25.18	-0.333
0.24	25.20	-0.332
0.24	25.22	-0.331
0.24	25.24	-0.330
0.25	25.26	-0.328
0.25	25.28	-0.327
0.25	25.30	-0.326
0.25	25.32	-0.326
0.25	25.34	-0.325
0.26	25.36	-0.324
0.26	25.38	-0.324
0.26	25.40	-0.323
0.26	25.42	-0.322
0.26	25.44	-0.321
0.26	25.46	-0.319
0.26	25.48	-0.318
0.27	25.50	-0.317
0.27	25.52	-0.316
0.27	25.54	-0.316
0.27	25.56	-0.315
0.27	25.58	-0.314
0.28	25.60	-0.314
0.28	25.62	-0.313
0.28	25.64	-0.311
0.28	25.66	-0.310
0.28	25.68	-0.309
0.28	25.70	-0.308
0.29	25.72	-0.307
0.29	25.74	-0.306
0.29	25.76	-0.305
0.29	25.78	-0.305
0.29	25.80	-0.304
0.29	25.82	-0.303
