Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.38	26.99	-0.224
0.38	27.01	-0.224
0.38	27.03	-0.224
0.38	27.04	-0.223
0.38	27.06	-0.223
0.39	27.08	-0.222
0.39	27.10	-0.222
0.39	27.12	-0.221
0.39	27.13	-0.221
0.39	27.15	-0.220
0.39	27.17	-0.220
0.40	27.19	-0.219
0.40	27.21	-0.219
0.40	27.23	-0.219
0.40	27.24	-0.218
0.40	27.26	-0.218
0.40	27.28	-0.218
0.40	27.30	-0.217
0.41	27.32	-0.217
0.41	27.33	-0.216
0.41	27.35	-0.216
0.41	27.37	-0.215
0.41	27.39	-0.214
0.41	27.41	-0.214
0.42	27.42	-0.214
0.42	27.44	-0.213
0.42	27.46	-0.213
0.42	27.48	-0.212
0.42	27.50	-0.212
0.43	27.52	-0.211
0.43	27.53	-0.211
0.43	27.55	-0.210
0.43	27.57	-0.209
0.43	27.59	-0.209
0.43	27.60	-0.208
0.44	27.62	-0.208
0.44	27.64	-0.208
0.44	27.66	-0.208
0.44	27.67	-0.208
0.44	27.69	-0.208
0.44	27.71	-0.207
0.45	27.73	-0.207
0.45	27.75	-0.206
0.45	27.76	-0.205
0.45	27.78	-0.204
0.45	27.80	-0.204
0.45	27.82	-0.203
0.45	27.83	-0.203
0.46	27.85	-0.203
0.46	27.87	-0.203
0.46	27.89	-0.203
0.46	27.91	-0.202
0.46	27.92	-0.202
