Filename	LLM_EP0905_20%02_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	LIMING
rundate	21/05/2025
Sample name	LLM_EP0905_20%02_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
0.0867053	0.206712	2.38407	10.0001	22.6815	1087.33	106.39	68.7066	2.28855e-4
0.0847722	0.198273	2.33889	10.0001	21.7454	1094.18	106.64	68.3678	2.28218e-4
0.0813434	0.190519	2.34216	10.0001	20.9380	1101.03	106.94	68.4604	2.28816e-4
0.0792603	0.183717	2.31789	10.0001	20.1432	1107.83	107.05	68.2988	2.28031e-4
0.0772644	0.175392	2.27002	10.0001	19.3239	1114.57	107.29	67.9289	2.28549e-4
0.0736388	0.167595	2.27591	10.0001	18.5092	1121.58	107.56	68.0662	2.29327e-4
0.0713478	0.160941	2.25572	10.0001	17.7173	1128.56	107.81	67.9477	2.28392e-4
0.0693768	0.154539	2.22753	10.0001	17.0283	1135.30	108.08	67.7501	2.28260e-4
0.0669156	0.149018	2.22695	10.0001	16.4185	1142.17	108.26	67.8173	2.28355e-4
0.0652065	0.142244	2.18144	10.0001	15.7221	1148.92	108.47	67.4552	2.28490e-4
0.0629930	0.136641	2.16915	10.0001	15.1090	1155.82	108.76	67.4155	2.28512e-4
0.0611479	0.130592	2.13568	10.0001	14.4698	1162.69	108.94	67.1657	2.28587e-4
0.0593743	0.125963	2.12151	10.0001	13.9350	1169.45	109.14	67.0982	2.28104e-4
0.0580427	0.121947	2.10098	10.0001	13.4803	1176.37	109.41	66.9528	2.27657e-4
0.0554600	0.116965	2.10900	10.0001	12.9865	1183.18	109.62	67.1460	2.29010e-4
0.0539928	0.111584	2.06665	10.0001	12.3949	1189.93	109.92	66.7981	2.28529e-4
0.0520320	0.107725	2.07036	10.0001	11.9441	1196.84	110.16	66.9362	2.28326e-4
0.0505607	0.103818	2.05333	10.0001	11.4985	1203.66	110.31	66.8469	2.27942e-4
0.0493438	0.100002	2.02664	10.0001	11.0921	1210.47	110.52	66.6464	2.27922e-4
0.0476674	0.0956508	2.00663	10.0001	10.6532	1217.37	110.80	66.5446	2.28678e-4
0.0465482	0.0915691	1.96719	10.0001	10.2085	1224.05	111.04	66.2024	2.28287e-4
0.0449216	0.0887521	1.97571	10.0001	9.86630	1230.97	111.28	66.4110	2.28029e-4
0.0436692	0.0853068	1.95348	10.0001	9.49895	1237.70	111.44	66.2694	2.28160e-4
0.0426695	0.0822972	1.92871	10.0001	9.16168	1244.66	111.65	66.0811	2.27763e-4
0.0415423	0.0793684	1.91054	10.0001	8.85045	1251.43	111.90	65.9783	2.27997e-4
0.0396987	0.0762358	1.92036	10.0001	8.51573	1258.16	112.16	66.2592	2.28857e-4
0.0389478	0.0735130	1.88748	10.0001	8.18534	1265.04	112.30	65.9687	2.27628e-4
0.0377062	0.0707505	1.87636	10.0001	7.90024	1271.96	112.61	65.9751	2.28266e-4
0.0368669	0.0681464	1.84844	10.0001	7.60718	1278.85	112.76	65.7510	2.27838e-4
0.0357797	0.0657924	1.83882	10.0001	7.34891	1285.77	113.08	65.7697	2.27964e-4
0.0348936	0.0638501	1.82985	10.0001	7.11636	1292.72	113.28	65.7791	2.27494e-4
0.0340676	0.0621381	1.82396	10.0001	6.92076	1299.46	113.52	65.8223	2.27427e-4
0.0332528	0.0599805	1.80377	10.0001	6.69690	1306.22	113.78	65.7000	2.27753e-4
0.0322485	0.0582082	1.80499	10.0001	6.49037	1312.86	113.96	65.8676	2.27761e-4
0.0316939	0.0562068	1.77343	10.0001	6.27338	1319.69	114.17	65.5778	2.27458e-4
0.0307345	0.0542060	1.76369	10.0001	6.06364	1326.49	114.39	65.6225	2.28044e-4
0.0298442	0.0525861	1.76202	10.0001	5.86570	1333.36	114.62	65.7646	2.27675e-4
0.0293355	0.0508856	1.73461	10.0001	5.67938	1340.27	114.86	65.5246	2.27371e-4
0.0286591	0.0495733	1.72976	10.0001	5.52678	1347.13	115.01	65.5999	2.27235e-4
0.0276658	0.0479577	1.73347	10.0001	5.35619	1353.93	115.33	65.8585	2.28097e-4
0.0269993	0.0463620	1.71715	10.0001	5.16987	1360.55	115.59	65.8089	2.27668e-4
0.0263136	0.0445851	1.69438	10.0001	4.98239	1367.44	115.75	65.6898	2.27975e-4
0.0256177	0.0433748	1.69315	10.0001	4.83415	1374.23	116.00	65.8522	2.27603e-4
0.0250823	0.0422088	1.68281	10.0001	4.69407	1381.13	116.22	65.8667	2.27144e-4
0.0243531	0.0407690	1.67408	10.0001	4.54580	1387.84	116.48	65.9658	2.27922e-4
0.0237527	0.0395664	1.66577	10.0001	4.40153	1394.78	116.66	66.0434	2.27533e-4
