Filename	LLM_EP0903_10%01_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	liming
rundate	14/05/2025
Sample name	LLM_EP0903_10%01_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
2.35624e-3	0.0107847	4.57709	10.0001	0.406223	6.25990	109.73	111.097	8.30259e-5
2.45366e-3	0.0112593	4.58879	10.0001	0.415189	12.9031	109.38	109.844	8.19469e-5
2.61686e-3	0.0118756	4.53810	10.0001	0.431524	19.7794	109.10	108.181	8.15620e-5
2.68458e-3	0.0124464	4.63626	10.0001	0.451032	26.5746	108.90	107.114	8.18236e-5
2.81944e-3	0.0131125	4.65076	10.0001	0.470032	33.4034	108.64	105.749	8.15140e-5
2.94492e-3	0.0137387	4.66520	10.0001	0.490655	40.2283	108.45	104.573	8.16569e-5
3.09021e-3	0.0144930	4.68996	10.0001	0.513596	47.0609	108.25	103.302	8.14743e-5
3.21447e-3	0.0151716	4.71978	10.0001	0.536950	53.8247	107.98	102.281	8.17056e-5
3.34335e-3	0.0158944	4.75404	10.0001	0.560336	60.6740	107.76	101.292	8.16766e-5
3.49587e-3	0.0166592	4.76539	10.0001	0.585218	67.6247	107.52	100.277	8.16577e-5
3.63716e-3	0.0174035	4.78491	10.0001	0.610607	74.3740	107.37	99.3942	8.17742e-5
3.72697e-3	0.0182098	4.88596	10.0001	0.637550	81.1290	107.09	98.7112	8.17649e-5
3.91907e-3	0.0190616	4.86380	10.0001	0.664971	87.9608	106.87	97.7596	8.16597e-5
4.05524e-3	0.0199766	4.92612	10.0001	0.696053	94.9135	106.63	97.0248	8.17016e-5
4.21495e-3	0.0209446	4.96912	10.0001	0.728337	101.634	106.39	96.2721	8.16663e-5
4.36104e-3	0.0218888	5.01918	10.0001	0.761348	108.505	106.21	95.6249	8.17811e-5
4.55419e-3	0.0229942	5.04902	10.0001	0.796747	115.358	105.94	94.8798	8.15732e-5
4.74741e-3	0.0241550	5.08804	10.0001	0.836405	122.164	105.75	94.1886	8.15852e-5
4.90566e-3	0.0254112	5.17997	10.0001	0.879258	129.049	105.47	93.6272	8.15820e-5
5.08080e-3	0.0265523	5.22602	10.0001	0.920309	135.760	105.31	93.0955	8.17688e-5
5.30633e-3	0.0277383	5.22740	10.0001	0.960768	142.720	105.04	92.4983	8.17539e-5
5.45676e-3	0.0292098	5.35296	10.0001	1.00938	149.375	104.83	92.0785	8.15916e-5
5.63981e-3	0.0305250	5.41242	10.0001	1.05686	156.300	104.67	91.6448	8.17632e-5
5.89256e-3	0.0320866	5.44528	10.0001	1.10794	162.984	104.40	91.1141	8.15648e-5
6.12429e-3	0.0337252	5.50680	10.0001	1.16491	169.832	104.15	90.6661	8.16011e-5
6.30173e-3	0.0354048	5.61827	10.0001	1.22369	176.657	103.93	90.3463	8.16486e-5
6.58353e-3	0.0372318	5.65529	10.0001	1.28499	183.464	103.66	89.8958	8.15357e-5
6.82898e-3	0.0390213	5.71407	10.0001	1.34923	190.275	103.50	89.5400	8.16823e-5
7.04566e-3	0.0409809	5.81647	10.0001	1.41601	197.161	103.28	89.2596	8.16277e-5
7.33458e-3	0.0430969	5.87585	10.0001	1.48779	203.939	102.97	88.9126	8.15549e-5
7.60486e-3	0.0453956	5.96929	10.0001	1.56669	210.735	102.83	88.6258	8.15149e-5
7.91155e-3	0.0477375	6.03390	10.0001	1.64855	217.357	102.54	88.3258	8.15623e-5
8.19095e-3	0.0505491	6.17134	10.0001	1.74221	224.209	102.37	88.1014	8.13819e-5
8.50114e-3	0.0532873	6.26825	10.0001	1.83879	231.139	102.10	87.8659	8.14718e-5
8.82745e-3	0.0560664	6.35137	10.0001	1.93642	237.904	101.88	87.6376	8.15226e-5
9.16668e-3	0.0591063	6.44795	10.0001	2.04074	244.817	101.63	87.4310	8.14894e-5
9.52717e-3	0.0622397	6.53286	10.0001	2.14998	251.494	101.43	87.2287	8.15152e-5
9.82174e-3	0.0654878	6.66763	10.0001	2.26395	258.292	101.24	87.1085	8.15699e-5
0.0102533	0.0690561	6.73499	10.0001	2.38449	265.151	100.98	86.9004	8.14597e-5
0.0105984	0.0728813	6.87663	10.0001	2.51614	271.765	100.75	86.7917	8.14323e-5
0.0110160	0.0770005	6.98985	10.0001	2.65787	278.637	100.59	86.6532	8.14114e-5
0.0113812	0.0809428	7.11200	10.0001	2.79963	285.392	100.25	86.5584	8.15772e-5
0.0119078	0.0858340	7.20819	10.0001	2.95804	292.207	100.02	86.4030	8.12603e-5
0.0124060	0.0910553	7.33961	10.0001	3.13918	299.090	99.89	86.2960	8.12788e-5
0.0128585	0.0961350	7.47640	10.0001	3.32027	305.840	99.60	86.2224	8.14220e-5
0.0133367	0.101887	7.63958	10.0001	3.51416	312.710	99.35	86.1668	8.13062e-5
0.0138570	0.107926	7.78854	10.0001	3.72281	319.549	99.17	86.1053	8.13092e-5
0.0144997	0.114498	7.89660	10.0001	3.94673	326.384	98.84	86.0074	8.12384e-5
0.0150176	0.121297	8.07702	10.0001	4.18552	333.197	98.72	85.9863	8.13170e-5
0.0155700	0.127963	8.21856	10.0001	4.42057	340.176	98.53	85.9482	8.14092e-5
0.0162183	0.135479	8.35343	10.0001	4.67390	346.852	98.27	85.8990	8.13003e-5
0.0168681	0.144225	8.55014	10.0001	4.96578	353.802	98.00	85.8894	8.11386e-5
0.0176341	0.153110	8.68259	10.0001	5.27496	360.465	97.82	85.8412	8.11823e-5
0.0182286	0.161977	8.88583	10.0001	5.58820	367.288	97.61	85.8582	8.12956e-5
0.0190557	0.171141	8.98107	10.0001	5.90791	374.254	97.35	85.8031	8.13407e-5
0.0197254	0.181550	9.20385	10.0001	6.25952	380.953	97.11	85.8317	8.12386e-5
0.0205314	0.192064	9.35464	10.0001	6.62688	387.742	96.94	85.8191	8.12934e-5
0.0215643	0.204442	9.48055	10.0001	7.03442	394.589	96.75	85.7826	8.10718e-5
0.0224920	0.217624	9.67564	10.0001	7.48995	401.392	96.40	85.7932	8.10905e-5
0.0237317	0.231903	9.77184	10.0001	7.97333	408.300	96.15	85.7456	8.10084e-5
0.0245250	0.245595	10.0141	10.0001	8.47005	415.120	96.00	85.7969	8.12642e-5
0.0257781	0.262430	10.1804	10.0001	9.01157	422.078	95.78	85.7921	8.09090e-5
0.0269566	0.280033	10.3883	10.0001	9.62313	428.831	95.53	85.8146	8.09745e-5
0.0283174	0.298498	10.5412	10.0001	10.2577	435.567	95.28	85.8113	8.09734e-5
0.0296371	0.317338	10.7075	10.0001	10.9151	442.392	95.03	85.8207	8.10484e-5
0.0311370	0.336919	10.8205	10.0001	11.5985	449.387	94.87	85.8075	8.11146e-5
0.0327618	0.360235	10.9956	10.0001	12.3635	456.048	94.68	85.8190	8.08650e-5
0.0341158	0.384264	11.2635	10.0001	13.1949	463.004	94.37	85.8770	8.09186e-5
0.0359828	0.410226	11.4006	10.0001	14.0747	469.733	94.14	85.8757	8.08537e-5
0.0378581	0.437233	11.5493	10.0001	15.0126	476.665	93.87	85.8831	8.09193e-5
0.0398941	0.466163	11.6850	10.0001	16.0021	483.402	93.69	85.8866	8.08999e-5
0.0418896	0.498518	11.9008	10.0001	17.0901	490.179	93.46	85.9220	8.07872e-5
0.0446999	0.531576	11.8921	10.0001	18.2327	497.098	93.21	85.8710	8.08374e-5
0.0466931	0.567871	12.1618	10.0001	19.4721	503.884	93.03	85.9311	8.08106e-5
0.0498267	0.607178	12.1858	10.0001	20.7856	510.798	92.76	85.8965	8.06785e-5
0.0526444	0.650289	12.3525	10.0001	22.2563	517.519	92.56	85.9174	8.06574e-5
0.0562430	0.695988	12.3747	10.0001	23.8146	524.310	92.31	85.8864	8.06391e-5
0.0591970	0.744833	12.5823	10.0001	25.4898	531.194	92.07	85.9255	8.06637e-5
0.0633864	0.798201	12.5926	10.0001	27.2668	537.999	91.84	85.8938	8.05102e-5
0.0677706	0.854979	12.6158	10.0001	29.2171	544.765	91.62	85.8690	8.05341e-5
0.0721196	0.913379	12.6648	10.0001	31.2507	551.699	91.39	85.8564	8.06299e-5
0.0775001	0.978979	12.6320	10.0001	33.4310	558.478	91.24	85.8149	8.04685e-5
0.0826385	1.05083	12.7160	10.0001	35.8577	565.402	90.94	85.8160	8.04153e-5
0.0891341	1.12877	12.6637	10.0001	38.4719	572.150	90.72	85.7701	8.03126e-5
0.0957752	1.20404	12.5715	10.0001	41.1833	578.966	90.52	85.7136	8.05953e-5
0.102610	1.29023	12.5741	10.0001	44.0172	585.879	90.34	85.6906	8.03858e-5
0.110042	1.38081	12.5480	10.0001	47.1250	592.595	90.00	85.6587	8.04098e-5
0.119710	1.48659	12.4183	10.0001	50.5399	599.426	89.83	85.5881	8.00954e-5
0.129711	1.60221	12.3521	10.0001	54.4459	606.328	89.62	85.5410	8.00496e-5
0.142087	1.72846	12.1648	10.0001	58.6702	613.158	89.29	85.4482	7.99623e-5
0.153329	1.84757	12.0498	10.0001	63.0036	619.911	89.19	85.3850	8.03185e-5
0.166050	1.97009	11.8644	10.0001	67.2499	626.785	88.98	85.2940	8.03869e-5
0.180384	2.12296	11.7691	10.0001	72.0473	633.633	88.72	85.2357	7.99209e-5
0.197983	2.28184	11.5255	10.0001	77.4818	640.389	88.50	85.1151	7.99477e-5
0.215281	2.44580	11.3610	10.0001	83.1690	647.265	88.24	85.0264	8.00639e-5
0.238379	2.64093	11.0787	10.0001	89.3945	654.086	87.97	84.8801	7.96796e-5
0.259059	2.84112	10.9671	10.0001	96.3721	660.913	87.75	84.8102	7.98414e-5
0.284342	3.04363	10.7041	10.0001	103.366	667.784	87.55	84.6664	7.99189e-5
0.314751	3.27304	10.3988	10.0001	110.915	674.578	87.35	84.4932	7.97262e-5
0.346445	3.55161	10.2516	10.0001	119.732	681.391	87.10	84.3950	7.93045e-5
0.387360	3.83294	9.89502	10.0001	129.444	688.211	86.82	84.1770	7.94186e-5
0.426369	4.10461	9.62690	10.0001	139.269	694.943	86.64	84.0004	7.97702e-5
0.467911	4.40508	9.41434	10.0001	149.274	701.828	86.43	83.8497	7.96535e-5
