Filename	LLM_EP0901_0%01_Oscillatory temperature sweep
Instrument name	5333-0626
Operator	
rundate	06/05/2025
Sample name	LLM_EP0901_0%01_Oscillatory temperature sweep
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
-5.00806e-5	0.0297282	-593.607	10.0001	1.05191	365.463	97.65	103.082	8.57097e-5
-3.51270e-5	0.0315013	-896.784	10.0001	1.11054	372.165	97.38	102.342	8.56383e-5
-5.80209e-5	0.0335769	-578.704	10.0001	1.17775	378.976	97.16	101.639	8.54388e-5
-4.72158e-5	0.0356088	-754.172	10.0001	1.24832	385.802	96.94	100.974	8.55867e-5
1.42705e-5	0.0377066	2642.27	10.0001	1.31982	392.645	96.70	100.287	8.56472e-5
-5.01986e-5	0.0398875	-794.593	10.0001	1.39525	398.878	96.53	99.8253	8.57140e-5
-3.38881e-5	0.0423595	-1249.98	10.0001	1.47598	405.126	96.29	99.2406	8.55300e-5
-1.42599e-5	0.0450955	-3162.40	10.0001	1.56727	411.921	96.07	98.6642	8.54445e-5
-3.38520e-5	0.0479457	-1416.33	10.0001	1.66526	418.717	95.82	98.1796	8.55034e-5
3.84691e-5	0.0513037	1333.63	10.0001	1.77410	425.514	95.62	97.5703	8.52447e-5
-8.58116e-6	0.0546911	-6373.39	10.0001	1.89340	432.204	95.43	97.1551	8.54274e-5
8.69348e-5	0.0583447	671.131	10.0001	2.01551	438.954	95.17	96.6182	8.53344e-5
6.82122e-5	0.0623295	913.759	10.0001	2.15142	445.794	94.97	96.2156	8.53379e-5
8.02972e-5	0.0669650	833.965	10.0001	2.30396	452.725	94.68	95.7777	8.51298e-5
8.08579e-5	0.0714420	883.551	10.0001	2.46347	459.438	94.49	95.4170	8.53704e-5
8.84623e-5	0.0772894	873.699	10.0001	2.64799	466.224	94.26	95.0034	8.48790e-5
2.18408e-4	0.0822628	376.647	10.0001	2.83361	473.130	94.03	94.6118	8.53832e-5
2.19743e-4	0.0878355	399.719	10.0001	3.02223	479.892	93.81	94.3195	8.53308e-5
2.82564e-4	0.0936562	331.451	10.0001	3.22231	486.786	93.57	94.0132	8.53554e-5
3.03009e-4	0.0995788	328.633	10.0001	3.42982	493.612	93.37	93.7627	8.54670e-5
4.59482e-4	0.107036	232.949	10.0001	3.66777	500.423	93.10	93.4176	8.50680e-5
4.28908e-4	0.115047	268.232	10.0001	3.94242	507.330	92.91	93.1948	8.50918e-5
5.51035e-4	0.123564	224.239	10.0001	4.23247	514.025	92.69	92.9177	8.50717e-5
5.81357e-4	0.131134	225.566	10.0001	4.51348	520.849	92.46	92.7359	8.55010e-5
6.73032e-4	0.139679	207.536	10.0001	4.79868	527.449	92.22	92.5306	8.53535e-5
8.65160e-4	0.149039	172.268	10.0001	5.11468	534.349	92.03	92.2974	8.52758e-5
1.04359e-3	0.161378	154.638	10.0001	5.50516	541.167	91.74	92.0577	8.47795e-5
1.14388e-3	0.175431	153.365	10.0001	5.97215	547.943	91.51	91.8593	8.46137e-5
1.23454e-3	0.185279	150.079	10.0001	6.38217	554.193	91.32	91.7319	8.56263e-5
1.32103e-3	0.196516	148.760	10.0001	6.75546	560.896	91.12	91.6070	8.54605e-5
1.55768e-3	0.209180	134.289	10.0001	7.17563	567.679	90.93	91.4440	8.52808e-5
1.72073e-3	0.226180	131.444	10.0001	7.71208	574.519	90.67	91.2930	8.47744e-5
2.17940e-3	0.246328	113.025	10.0001	8.36564	581.270	90.41	91.0792	8.44421e-5
2.23906e-3	0.265060	118.380	10.0001	9.04743	588.125	90.22	90.9887	8.48741e-5
2.82064e-3	0.294401	104.374	10.0001	9.90847	594.945	89.90	90.7751	8.36983e-5
3.26539e-3	0.316341	96.8769	10.0001	10.8015	601.751	89.70	90.6393	8.49173e-5
3.56710e-3	0.331538	92.9434	10.0001	11.4418	608.624	89.52	90.5566	8.58174e-5
3.91730e-3	0.350701	89.5262	10.0001	12.0537	615.503	89.31	90.4676	8.54704e-5
4.45580e-3	0.373016	83.7147	10.0001	12.7895	622.279	89.08	90.3553	8.52663e-5
5.24649e-3	0.399210	76.0908	10.0001	13.6478	629.096	88.84	90.2167	8.50204e-5
5.57300e-3	0.429850	77.1308	10.0001	14.6523	635.960	88.59	90.1555	8.47671e-5
6.41993e-3	0.466520	72.6676	10.0001	15.8383	642.809	88.36	90.0367	8.44321e-5
7.68997e-3	0.500807	65.1247	10.0001	17.0902	649.679	88.20	89.8864	8.48634e-5
8.62043e-3	0.539837	62.6230	10.0001	18.3920	656.381	87.96	89.7931	8.47261e-5
8.97404e-3	0.577758	64.3810	10.0001	19.7434	663.328	87.67	89.7689	8.49827e-5
0.0105728	0.624873	59.1018	10.0001	21.2239	670.126	87.47	89.6364	8.44655e-5
0.0124727	0.683206	54.7759	10.0001	23.0948	677.009	87.23	89.5040	8.40666e-5
0.0136006	0.740558	54.4503	10.0001	25.1340	683.873	87.02	89.4511	8.43964e-5
0.0159781	0.797618	49.9193	10.0001	27.1262	690.579	86.76	89.3156	8.45776e-5
0.0177748	0.862874	48.5448	10.0001	29.2832	697.282	86.60	89.2434	8.43866e-5
0.0200373	0.937844	46.8050	10.0001	31.7330	704.175	86.32	89.1604	8.41409e-5
0.0227991	1.01485	44.5127	10.0001	34.4009	710.995	86.08	89.0628	8.43000e-5
0.0258710	1.08117	41.7907	10.0001	36.9307	717.849	85.87	88.9527	8.49332e-5
0.0280219	1.16806	41.6840	10.0001	39.6281	724.662	85.63	88.9190	8.43609e-5
0.0323992	1.25755	38.8142	10.0001	42.6914	731.526	85.42	88.7901	8.44074e-5
0.0364420	1.36845	37.5514	10.0001	46.2097	738.244	85.21	88.7111	8.39548e-5
0.0438324	1.50179	34.2621	10.0001	50.4515	745.136	84.92	88.5343	8.35182e-5
