Filename	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	liming
rundate	14/05/2025
Sample name	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
192.521	154.793	0.804033	10.0001	2127.83	2188.78	76.82	33.7376	2.41698e-5
203.140	158.769	0.781574	10.0001	2203.03	2195.67	76.60	32.8492	2.41259e-5
214.371	162.816	0.759503	10.0001	2284.99	2202.51	76.43	31.9579	2.41222e-5
225.901	166.626	0.737604	10.0001	2370.06	2209.27	76.17	31.0660	2.41540e-5
237.791	170.595	0.717417	10.0001	2455.05	2216.13	75.90	30.2193	2.41630e-5
249.307	173.751	0.696934	10.0001	2541.91	2222.98	75.70	29.3720	2.42512e-5
259.601	176.622	0.680359	10.0001	2622.02	2229.20	75.52	28.6689	2.43505e-5
272.816	179.958	0.659630	10.0001	2693.87	2236.13	75.24	27.7860	2.42148e-5
285.970	183.114	0.640325	10.0001	2783.32	2243.03	75.00	26.9509	2.42548e-5
297.798	185.953	0.624425	10.0001	2870.69	2249.82	74.83	26.2485	2.43507e-5
310.486	188.166	0.606037	10.0001	2948.66	2256.58	74.56	25.4564	2.43578e-5
323.111	190.122	0.588410	10.0001	3028.24	2263.54	74.39	24.6912	2.43891e-5
336.681	192.225	0.570942	10.0001	3105.92	2270.27	74.13	23.9199	2.43637e-5
